airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam
Free Market Token,5.66E-07,0,5.57E-08,9.97E-05,7.19E-07,0.000152166,8.48E-05,-0.004868877,FALSE
StarChain,2.63E-07,0,3.16E-08,9.86E-05,1.37E-06,0.000271724,0.000103733,-0.002244605,FALSE
ABitchain,1.97E-08,0,3.44E-08,2.43E-05,1.32E-07,4.35E-05,2.47E-05,0.000271203,FALSE
Check-Car,0,0,0,0,0,0,0,0,FALSE
AI Gaming,5.51E-08,0,0,8.59E-06,1.64E-08,1.09E-05,7.27E-06,-0.005956362,FALSE
AbacasXchange,4.95E-09,0,3.65E-10,1.42E-05,1.23E-08,2.17E-05,1.62E-05,-0.000305362,FALSE
Ether joy,0,0,0,0,0,0,0,0,FALSE
Blockport,2.45E-05,0,5.38E-06,0.000794864,7.36E-05,0.001108635,0.000783817,-0.023657108,FALSE
ConcertVR,0,0,0,0,0,0,0,0,FALSE
BitMinutes,0,0,0,1.87E-06,0,1.09E-05,9.69E-07,0,FALSE
BFEX,5.79E-08,0,0,3.34E-05,8.63E-08,3.26E-05,3.64E-05,-0.001608033,FALSE
Hangry Animals,5.32E-06,0,2.87E-07,0.000140193,3.06E-06,0.000489104,7.44E-05,-0.033712025,FALSE
Argent,0.00078574,0,0.000781807,0.005710964,0.000606115,0.004532362,0.006339365,-0.028589805,FALSE
Limocoinswap,0,0,0,0,0,0,0,0,FALSE
Socean,9.15E-07,0,6.46E-07,1.16E-05,7.64E-07,1.09E-05,7.76E-06,-0.032967033,FALSE
