airdrop_name,positive,neutral,negative,total_words,total_upvotes,comment_count,average_comment_length,scam_probability,is_scam,total,positive_percentage,neutral_percentage,negative_percentage
Liquidium,220.220299,0,0,428,3107,4,307,-0.514533409,FALSE,220.220299,100,0,0
AutoLayer,5.215252916,0,1.819330696,432,18,9,379,-0.007860931,FALSE,7.034583613,74.13733639,0,25.86266361
EtherMail,2.300193817,0,0,60,39,8,15,-0.038336564,FALSE,2.300193817,100,0,0
Vooi,12.57267214,0,4.677508026,397,179,20,290,-0.019887063,FALSE,17.25018017,72.88429465,0,27.11570535
Lyra,65.43725915,0,641.1424917,1334,7516,32,1199,0.431563143,TRUE,706.5797509,9.261128567,0,90.73887143
tea,1343601.652,0,1009860.832,768785,20515011,9293,636934,-0.434114636,FALSE,2353462.484,57.09042151,0,42.90957849
M2,8564.150411,0,918.4006835,14142,169781,214,11191,-0.540641333,FALSE,9482.551094,90.31483538,0,9.685164618
EYWA,15314.77988,0,5166.758372,5118,233640,138,4572,-1.982809986,FALSE,20481.53825,74.77358239,0,25.22641761
Delabs Games,57.96610169,0,3.050847458,609,288,32,321,-0.090172831,FALSE,61.01694915,95,0,5
Dwinity,0,0,0,0,0,0,0,0,FALSE,0,0,0,0
ThetaNuts Finance,2.980625931,0,0.298062593,135,16,8,55,-0.01987084,FALSE,3.278688525,90.90909091,0,9.090909091
World PvP,41804.63424,0,9659.833874,6963,816628,199,6188,-4.616515922,FALSE,51464.46811,81.23009092,0,18.76990908
Thruster,1191.599597,0,2263.787014,535,19547,10,296,2.004088631,TRUE,3455.386611,34.48527563,0,65.51472437
Tari,133163.6878,0,78670.33325,83516,1903663,868,69954,-0.652489997,FALSE,211834.0211,62.86227639,0,37.13772361
Imaginary Ones,52922.89751,0,2402.237188,2731,476839,90,2009,-18.4989602,FALSE,55325.13469,95.65796414,0,4.34203586
Glacier Network,19.13021943,0,14.32683729,232,261,18,87,-0.020704233,FALSE,33.45705672,57.17842902,0,42.82157098
Zyfi,5.475767425,0,1.409774436,366,31,6,318,-0.01110927,FALSE,6.885541861,79.5255847,0,20.4744153
Storm Trade,0.178253119,0,0,69,1,1,56,-0.002583379,FALSE,0.178253119,100,0,0
Phaver,14.14362663,0,1.628664495,94,137,8,38,-0.133137895,FALSE,15.77229113,89.67388769,0,10.32611231
Elfin,723.2826125,0,3.170287171,963,4084,16,734,-0.747780192,FALSE,726.4528997,99.56359357,0,0.436406431
